Abbreviation,Season,Team,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,,Distance (above average),Distance (above average),Distance (above average),,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,,,Shot Locations (BTN),Shot Locations (BTN),Shot Locations (BTN),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Point),Shot Locations (Point),Shot Locations (Point),Shot Locations (Flank),Shot Locations (Flank),Shot Locations (NZ),,Goal Locations (BTN),Goal Locations (BTN),Goal Locations (BTN),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Point),Goal Locations (Point),Goal Locations (Point),Goal Locations (Flank),Goal Locations (Flank),Goal Locations (NZ)
FLA,22-23,Florida Panthers,50,1448,7186,0.6,17.5,86.9,,0.0,0.3,0.0,,52,163,480,1173,2.0,5.8,14.2,3.0%,8.8%,21.4%,,43.0%,18.8%,38.2%,53.0%,58.1%,56.6%,,1685,1497,268,262,,7.5,7.3,51.2%,16.9,13.8,,4960.2,5,7,4,83,46,863,92,274,304,263,238,237,204,140,112,79,,0,1,0,7,8,150,9,26,30,23,6,7,5,5,5,4
L.A,22-23,Los Angeles Kings,65,1427,6449,0.8,17.2,77.6,,-0.1,-0.2,-0.2,,52,75,523,1146,0.9,6.3,13.8,1.5%,10.7%,23.5%,,39.6%,18.4%,42.0%,48.5%,60.9%,58.3%,,1608,1706,253,243,,6.8,5.9,53.8%,13.4,12.8,,4989.3,5,9,1,67,39,712,65,244,272,231,217,194,182,154,143,40,,0,2,0,4,7,123,12,26,30,33,3,9,2,6,9,0
MIN,22-23,Minnesota Wild,40,1235,6633,0.5,14.8,79.3,,-0.1,-0.0,0.0,,48,38,428,1133,0.5,5.1,13.5,0.8%,8.9%,23.6%,,41.2%,18.3%,40.5%,50.4%,61.8%,57.4%,,1688,1659,245,242,,6.1,6.1,49.1%,15.0,13.0,,5018.5,3,11,2,65,55,644,58,256,248,203,199,175,174,142,138,87,,1,2,0,3,17,118,4,17,28,15,6,5,7,4,6,1
MTL,22-23,Montreal Canadiens,117,1929,7543,1.4,23.3,91.0,,0.1,0.2,-0.2,,43,89,477,928,1.1,5.8,11.2,2.1%,11.3%,22.0%,,37.9%,18.1%,43.9%,46.3%,56.7%,61.6%,,1535,1778,229,270,,6.5,7.2,49.2%,11.2,16.4,,4973.6,8,17,3,52,40,570,59,218,206,209,154,177,137,107,145,59,,0,1,0,5,14,101,6,24,23,20,6,7,3,7,5,0
N.J,22-23,New Jersey Devils,84,1625,7323,1.0,19.5,88.1,,0.1,-0.1,-0.3,,39,60,455,1000,0.7,5.5,12.0,1.1%,8.6%,19.0%,,41.2%,19.4%,39.4%,51.1%,57.7%,57.7%,,1706,1631,207,225,,7.7,6.4,53.0%,15.4,12.4,,4987.8,4,16,2,69,50,800,91,265,290,266,175,171,188,147,154,50,,0,3,0,1,17,102,6,19,23,15,7,9,4,2,8,1
NSH,22-23,Nashville Predators,21,1107,6297,0.3,13.3,75.7,,-0.2,0.1,-0.1,,33,128,436,935,1.5,5.2,11.2,2.7%,9.3%,20.0%,,41.1%,18.1%,40.8%,50.2%,57.5%,58.7%,,1653,1641,232,267,,6.5,7.2,47.5%,12.8,15.0,,4990.4,1,17,1,42,57,644,63,198,264,209,170,215,155,122,143,51,,0,2,1,7,10,134,6,28,38,27,6,7,5,2,11,1
NYI,22-23,New York Islanders,54,1533,7051,0.7,18.5,85.1,,-0.2,0.1,-0.1,,48,137,478,1195,1.7,5.8,14.4,2.8%,9.8%,24.6%,,40.7%,17.9%,41.4%,49.6%,59.1%,59.5%,,1677,1706,223,219,,7.0,6.7,50.1%,13.1,14.7,,4973.3,4,18,3,44,52,691,76,232,262,220,196,195,217,80,101,60,,1,3,0,0,10,107,7,22,34,16,5,12,9,4,4,2
NYR,22-23,New York Rangers,93,1579,6882,1.1,19.0,82.7,,-0.0,-0.2,-0.0,,38,76,424,1087,0.9,5.1,13.1,1.6%,8.8%,22.6%,,40.8%,18.4%,40.8%,50.0%,64.8%,58.8%,,1686,1686,256,216,,6.4,6.6,49.7%,15.5,13.2,,4990.0,4,13,5,79,53,714,91,251,239,203,171,168,206,156,116,47,,0,1,0,9,10,141,8,23,28,17,2,5,8,10,5,2
OTT,22-23,Ottawa Senators,57,1531,7425,0.7,18.5,89.7,,0.1,0.2,0.0,,43,63,562,1093,0.8,6.8,13.2,1.2%,11.0%,21.4%,,40.5%,18.2%,41.4%,49.5%,57.5%,57.2%,,1574,1609,285,284,,7.2,6.6,52.0%,16.9,14.7,,4965.3,6,14,5,74,57,753,62,246,270,204,180,183,178,150,168,94,,0,0,0,11,10,136,2,17,40,17,3,8,3,3,3,2
PHI,22-23,Philadelphia Flyers,55,1420,6592,0.7,17.1,79.5,,-0.0,0.1,-0.0,,22,53,451,1018,0.6,5.4,12.3,1.2%,10.1%,22.8%,,40.3%,18.2%,41.5%,49.3%,54.9%,60.9%,,1659,1708,205,232,,6.2,6.6,48.2%,10.5,14.9,,4973.0,10,16,5,59,59,577,61,193,222,196,200,194,195,150,134,87,,0,2,0,3,14,109,4,16,24,19,5,7,8,1,5,2
PIT,22-23,Pittsburgh Penguins,109,1838,7622,1.3,22.2,92.1,,0.1,0.3,0.2,,42,117,451,1058,1.4,5.4,12.8,2.2%,8.7%,20.3%,,42.0%,18.3%,39.6%,51.5%,58.4%,58.7%,,1684,1588,267,246,,7.6,7.1,50.6%,15.6,13.9,,4966.2,5,31,12,59,60,802,85,201,292,207,211,233,192,121,128,82,,0,1,1,3,15,137,9,15,32,23,5,5,3,4,4,2
S.J,22-23,San Jose Sharks,56,1520,7542,0.7,18.3,90.8,,0.0,0.1,-0.2,,48,63,367,909,0.8,4.4,10.9,1.4%,8.0%,19.7%,,40.1%,18.9%,41.0%,49.4%,57.0%,61.5%,,1644,1680,212,259,,7.0,7.2,49.1%,14.0,12.7,,4984.7,6,17,3,62,66,685,70,224,283,223,163,149,126,119,98,59,,0,1,0,8,12,106,8,15,32,14,4,11,4,3,9,2
SEA,22-23,Seattle Kraken,29,1318,7286,0.4,15.9,88.0,,0.1,-0.2,0.1,,49,106,594,1127,1.3,7.2,13.6,2.2%,12.5%,23.7%,,41.5%,18.5%,40.0%,50.9%,56.6%,57.6%,,1699,1638,232,221,,6.3,6.3,51.8%,13.0,13.6,,4965.7,2,21,6,55,51,572,77,245,295,216,172,189,193,122,146,75,,0,5,0,3,18,114,9,33,45,27,7,7,6,2,5,4
STL,22-23,St. Louis Blues,55,1474,6790,0.7,17.8,82.0,,-0.0,-0.0,-0.2,,47,99,449,973,1.2,5.4,11.7,2.4%,10.7%,23.2%,,39.8%,18.4%,41.8%,48.8%,58.8%,61.6%,,1642,1724,237,214,,6.0,6.9,47.2%,10.6,13.7,,4969.5,1,14,2,57,20,612,67,209,324,222,125,168,160,103,121,72,,0,2,0,4,8,110,6,31,50,21,4,8,1,5,6,0
T.B,22-23,Tampa Bay Lightning,75,1609,6657,0.9,19.4,80.4,,-0.1,-0.4,-0.1,,52,210,540,1185,2.5,6.5,14.3,4.3%,11.0%,24.1%,,41.6%,18.5%,39.8%,51.1%,55.3%,57.5%,,1679,1606,241,236,,7.0,6.9,50.4%,15.1,15.0,,4966.1,1,14,5,50,30,740,75,238,329,232,185,197,197,111,108,40,,0,1,0,3,8,135,7,25,36,26,8,7,4,5,8,4
TOR,22-23,Toronto Maple Leafs,65,1778,7547,0.8,21.5,91.2,,0.0,-0.1,0.2,,53,51,374,958,0.6,4.5,11.6,1.1%,7.8%,20.1%,,41.5%,18.0%,40.5%,50.6%,59.3%,56.2%,,1680,1639,237,237,,7.2,6.4,50.3%,16.3,12.2,,4964.9,2,10,2,58,80,820,70,261,299,207,163,169,120,130,131,39,,0,2,0,3,15,144,6,23,38,19,3,9,4,2,6,1
VAN,22-23,Vancouver Canucks,54,1580,7214,0.6,19.0,86.7,,-0.1,-0.3,-0.1,,62,77,531,1070,0.9,6.4,12.9,1.7%,11.8%,23.7%,,41.2%,17.8%,41.0%,50.1%,60.8%,60.0%,,1684,1676,266,219,,6.0,6.8,47.6%,13.7,14.9,,4991.8,4,18,3,60,50,709,62,228,250,204,148,205,155,124,102,46,,0,1,0,2,17,135,5,16,37,19,5,8,13,1,4,1
VGK,22-23,Vegas Golden Knights,83,1780,6884,1.0,21.4,82.6,,-0.0,0.0,-0.3,,25,102,572,1121,1.2,6.9,13.5,2.1%,11.9%,23.4%,,41.5%,18.8%,39.7%,51.1%,61.2%,61.0%,,1762,1686,210,184,,6.8,6.5,47.1%,14.9,12.8,,4997.5,8,25,5,68,79,694,56,221,276,237,175,192,180,107,114,83,,0,1,2,7,15,131,8,16,39,18,6,6,4,5,2,2
WPG,22-23,Winnipeg Jets,69,1678,7137,0.8,20.3,86.5,,0.0,0.2,-0.1,,50,65,562,1071,0.8,6.8,13.0,1.3%,11.6%,22.1%,,42.2%,18.4%,39.3%,51.8%,59.2%,60.5%,,1694,1577,263,240,,6.8,6.6,49.7%,13.9,13.0,,4951.6,1,15,2,57,30,694,65,237,260,241,151,176,167,150,119,59,,0,0,0,6,11,125,5,26,40,19,2,2,0,6,4,0
WSH,22-23,Washington Capitals,76,1561,6988,0.9,18.8,84.2,,0.0,-0.2,-0.1,,36,153,465,981,1.8,5.6,11.8,3.1%,9.6%,20.2%,,40.0%,18.4%,41.7%,49.0%,58.6%,61.4%,,1647,1717,232,226,,6.8,6.6,50.8%,12.9,13.3,,4977.3,4,6,5,73,50,678,73,247,253,230,184,146,163,132,143,90,,0,0,0,3,11,122,5,24,31,19,8,5,2,6,5,0
BOS,21-22p,Boston Bruins,3,126,610,0.4,18.0,87.1,,0.0,0.2,0.2,,23,3,32,97,0.4,4.6,13.9,0.7%,7.5%,22.9%,,37.4%,19.2%,43.4%,46.3%,55.7%,61.5%,,114,133,23,35,,6.3,5.0,56.2%,17.3,13.5,,420.0,2,1,2,5,2,47,11,23,24,13,12,12,14,20,22,8,,0,0,0,0,2,12,0,2,1,1,1,0,0,0,0,1
CAR,21-22p,Carolina Hurricanes,8,284,1211,0.6,20.2,86.2,,-0.0,0.0,0.3,,57,9,116,219,0.6,8.3,15.6,1.0%,12.9%,24.3%,,44.8%,18.9%,36.3%,55.2%,62.8%,53.5%,,295,239,55,39,,5.9,7.0,45.7%,13.6,14.3,,843.2,0,1,0,16,5,101,17,39,61,41,33,29,45,26,25,20,,0,0,0,2,0,11,4,1,9,4,0,0,1,2,0,0
CGY,21-22p,Calgary Flames,17,317,1206,1.4,25.7,97.8,,0.2,0.4,0.7,,27,37,95,211,3.0,7.7,17.1,4.0%,10.2%,22.6%,,43.1%,18.5%,38.3%,52.9%,56.5%,52.9%,,253,225,38,38,,7.2,6.5,52.7%,17.5,11.9,,740.2,0,3,0,11,6,112,13,33,54,31,43,41,29,27,11,14,,0,1,0,3,2,14,0,2,5,3,3,1,0,0,2,1
COL,21-22p,Colorado Avalanche,68,666,2167,3.3,32.4,105.3,,0.0,-0.7,-0.1,,60,22,179,368,1.1,8.7,17.9,1.5%,12.4%,25.5%,,43.1%,18.5%,38.5%,52.8%,63.6%,57.1%,,441,394,58,56,,6.1,5.0,55.0%,17.0,11.3,,1234.9,1,2,0,27,5,175,29,89,82,74,48,63,50,53,36,26,,1,0,0,1,1,34,3,11,6,11,2,5,2,4,2,1
DAL,21-22p,Dallas Stars,11,171,699,1.5,23.6,96.4,,0.1,0.9,0.3,,52,2,35,77,0.3,4.8,10.6,0.5%,9.6%,21.0%,,37.6%,18.1%,44.3%,45.9%,51.2%,57.8%,,131,154,19,23,,6.0,7.2,45.3%,8.1,16.7,,435.2,0,0,0,3,4,50,3,15,16,15,22,14,14,8,16,9,,0,0,0,0,1,7,0,1,3,1,0,1,0,0,0,0
EDM,21-22p,Edmonton Oilers,38,486,1503,2.4,30.1,93.2,,-0.1,-0.3,0.2,,52,36,123,199,2.2,7.6,12.3,3.5%,12.0%,19.5%,,41.9%,18.4%,39.7%,51.3%,59.7%,58.3%,,324,307,49,56,,7.3,7.2,50.3%,15.1,18.0,,967.6,0,3,1,11,11,165,21,47,52,42,36,38,40,22,32,13,,0,0,0,0,4,36,1,3,7,6,0,3,0,1,3,1
FLA,21-22p,Florida Panthers,6,197,1025,0.6,19.4,101.2,,0.2,-0.5,0.2,,28,25,74,155,2.5,7.3,15.3,3.7%,10.9%,22.9%,,43.1%,19.8%,37.1%,53.7%,60.2%,54.0%,,206,177,35,32,,6.5,6.8,48.6%,11.5,13.4,,607.7,0,2,0,12,4,97,17,36,27,26,26,37,24,12,13,15,,0,0,0,0,1,15,0,3,1,1,0,1,1,0,0,0
L.A,21-22p,Los Angeles Kings,8,170,582,1.1,24.2,82.9,,-0.1,0.2,-0.2,,65,7,50,107,1.0,7.1,15.2,1.5%,10.6%,22.8%,,38.1%,17.9%,44.0%,46.4%,60.6%,59.9%,,130,151,26,17,,7.1,7.8,47.5%,16.9,17.7,,421.2,1,0,0,5,6,55,6,28,22,22,13,16,26,20,31,6,,0,0,0,1,3,6,0,0,2,2,0,1,1,0,0,0
MIN,21-22p,Minnesota Wild,2,80,508,0.3,13.3,84.7,,0.1,0.3,-0.4,,44,2,38,84,0.3,6.3,14.0,0.6%,10.7%,23.7%,,42.5%,18.4%,39.1%,52.1%,56.5%,60.4%,,115,106,23,25,,6.4,4.9,56.8%,13.9,15.8,,360.0,0,2,0,8,3,34,7,19,22,20,11,16,9,15,8,4,,0,1,0,0,2,3,0,1,3,2,1,0,1,1,0,0
NSH,21-22p,Nashville Predators,4,66,354,1.0,15.9,85.5,,-0.3,0.4,-0.9,,53,3,17,40,0.7,4.1,9.7,1.5%,8.3%,19.4%,,37.2%,18.3%,44.5%,45.5%,45.6%,65.5%,,75,90,10,15,,5.1,6.2,45.0%,8.7,16.6,,248.5,0,3,0,1,1,31,2,6,9,9,11,9,8,5,9,4,,0,0,0,0,0,5,0,1,1,1,0,1,0,0,0,0
NYR,21-22p,New York Rangers,19,433,1879,0.9,20.7,89.9,,-0.0,0.0,0.0,,50,36,144,275,1.7,6.9,13.2,3.1%,12.3%,23.5%,,37.8%,18.7%,43.5%,46.5%,60.2%,58.9%,,399,460,51,52,,6.0,7.8,43.5%,12.4,15.6,,1253.9,2,2,0,25,5,136,22,62,63,40,48,36,58,40,41,24,,0,1,0,1,1,16,2,9,9,9,4,1,1,5,2,0
PIT,21-22p,Pittsburgh Penguins,6,183,676,0.8,23.3,86.2,,0.1,0.3,0.1,,54,9,58,94,1.1,7.4,12.0,1.7%,11.1%,17.9%,,42.3%,18.5%,39.2%,51.9%,52.8%,64.8%,,168,156,19,19,,8.9,5.6,61.2%,16.6,12.7,,470.7,1,2,2,10,5,94,19,20,23,19,22,15,25,16,21,6,,0,1,0,1,3,17,1,0,4,0,0,1,0,0,0,0
STL,21-22p,St. Louis Blues,8,249,1046,0.7,20.4,85.8,,-0.0,-0.3,0.2,,45,27,50,116,2.2,4.1,9.5,4.4%,8.1%,18.9%,,38.9%,18.2%,42.9%,47.6%,59.0%,57.4%,,229,253,38,35,,4.6,5.9,43.4%,13.7,14.1,,731.7,1,2,1,12,1,70,10,34,47,36,18,16,25,29,18,8,,0,0,0,1,1,17,0,3,5,3,0,2,1,3,1,0
T.B,21-22p,Tampa Bay Lightning,24,473,1902,1.0,20.1,80.9,,-0.1,-0.6,-0.6,,43,55,147,306,2.3,6.2,13.0,4.2%,11.1%,23.2%,,39.9%,18.8%,41.3%,49.1%,58.5%,63.2%,,452,468,78,73,,6.2,5.7,52.1%,15.7,15.2,,1411.5,0,1,0,20,6,193,29,62,80,49,52,58,49,26,40,17,,0,0,0,1,1,32,1,5,10,3,1,4,3,0,4,1
TOR,21-22p,Toronto Maple Leafs,18,182,662,2.5,24.9,90.7,,0.1,-0.3,0.2,,58,7,49,86,1.0,6.7,11.8,1.7%,11.7%,20.5%,,40.7%,18.8%,40.5%,50.1%,58.1%,56.1%,,135,134,26,29,,6.0,5.7,51.2%,13.7,16.0,,438.1,0,0,1,6,3,55,6,37,21,15,10,16,10,11,9,6,,0,0,0,0,0,6,0,8,3,1,3,2,0,0,1,0
WSH,21-22p,Washington Capitals,7,120,574,1.1,19.6,93.7,,-0.0,0.1,-0.0,,54,14,33,57,2.3,5.4,9.3,4.3%,10.2%,17.7%,,36.9%,20.7%,42.3%,46.6%,52.6%,56.7%,,108,123,18,19,,6.7,6.7,49.9%,9.5,8.7,,367.7,1,1,1,4,5,52,9,16,22,8,10,6,13,9,13,5,,0,0,0,0,1,12,1,2,1,0,0,0,0,0,0,0
BOS,22-23p,Boston Bruins,4,132,630,0.6,18.2,87.0,,0.0,0.3,0.6,,56,7,42,100,1.0,5.8,13.8,1.5%,8.8%,21.0%,,41.3%,19.9%,38.8%,51.6%,55.0%,57.7%,,142,134,24,19,,6.1,7.1,46.3%,21.0,11.0,,434.7,0,0,1,4,3,73,7,18,22,29,19,15,22,10,12,4,,0,0,0,0,1,16,0,5,2,2,0,0,1,0,0,0
CAR,22-23p,Carolina Hurricanes,9,286,1366,0.5,17.2,82.0,,-0.0,0.4,0.5,,44,23,105,255,1.4,6.3,15.3,2.1%,9.6%,23.2%,,44.2%,19.0%,36.8%,54.6%,59.6%,52.7%,,369,307,49,38,,6.9,6.7,50.6%,14.5,14.1,,999.8,3,9,1,10,18,129,16,35,30,44,46,36,56,40,40,14,,0,1,1,0,2,28,1,1,4,4,1,0,3,0,0,0
COL,22-23p,Colorado Avalanche,21,240,702,3.0,34.0,99.6,,0.1,-0.8,0.3,,58,12,56,129,1.7,7.9,18.3,2.6%,12.0%,27.7%,,42.1%,17.3%,40.6%,50.9%,66.7%,49.6%,,144,139,21,17,,6.5,6.6,49.5%,12.8,9.4,,423.0,0,1,0,2,3,46,9,20,27,24,20,33,11,17,12,2,,0,0,0,0,0,10,0,0,3,3,0,2,0,0,1,0
DAL,22-23p,Dallas Stars,18,347,1603,0.9,17.5,80.8,,0.1,0.3,0.0,,54,16,119,296,0.8,6.0,14.9,1.3%,9.9%,24.5%,,40.2%,19.2%,40.6%,49.8%,61.0%,60.3%,,399,403,49,54,,6.6,5.6,54.1%,16.7,10.8,,1190.7,2,3,2,10,12,148,14,57,36,49,43,42,40,42,44,20,,0,0,0,0,3,34,1,6,8,3,0,0,2,0,1,1
EDM,22-23p,Edmonton Oilers,25,316,1098,2.0,25.5,88.6,,-0.1,-0.4,0.1,,38,30,70,164,2.4,5.6,13.2,3.9%,9.1%,21.3%,,44.1%,18.4%,37.5%,54.0%,63.5%,56.9%,,265,226,38,40,,6.8,7.1,48.8%,20.6,13.5,,743.4,0,5,0,19,18,122,19,26,44,28,25,27,18,21,20,9,,0,1,0,2,4,13,1,8,7,3,1,0,0,2,2,0
FLA,22-23p,Florida Panthers,18,378,1738,0.8,16.4,75.6,,0.0,0.4,0.1,,54,38,115,277,1.7,5.0,12.0,2.8%,8.3%,20.1%,,39.3%,19.5%,41.2%,48.8%,58.2%,57.1%,,447,469,56,67,,6.4,7.4,46.4%,15.4,17.9,,1379.3,0,3,1,18,19,177,19,60,59,44,54,44,52,37,34,20,,0,1,0,0,4,26,2,7,8,4,1,6,1,0,1,0
L.A,22-23p,Los Angeles Kings,8,105,529,1.3,16.4,82.8,,-0.1,-0.0,-0.5,,53,9,42,89,1.4,6.6,13.9,2.4%,11.2%,23.7%,,37.3%,18.3%,44.5%,45.6%,59.2%,60.6%,,120,143,19,15,,7.5,7.2,51.2%,11.0,16.4,,383.4,1,0,1,7,5,58,6,19,12,15,23,7,9,10,14,14,,0,0,0,0,2,11,0,2,2,2,1,0,0,0,0,0
MIN,22-23p,Minnesota Wild,2,104,514,0.3,15.9,78.6,,0.0,-0.3,0.0,,39,6,37,82,0.9,5.7,12.5,1.6%,9.7%,21.5%,,38.4%,19.4%,42.2%,47.6%,63.2%,61.1%,,118,130,25,21,,5.9,5.9,50.1%,11.6,17.3,,392.3,1,0,0,4,0,49,9,15,18,7,18,12,14,9,12,9,,0,0,0,1,0,10,0,1,1,0,0,0,0,0,0,0
N.J,22-23p,New Jersey Devils,19,273,1133,1.5,22.2,92.0,,0.2,0.1,-0.1,,49,8,46,159,0.6,3.7,12.9,1.2%,6.7%,23.0%,,39.3%,19.4%,41.3%,48.8%,53.7%,62.8%,,239,251,29,41,,7.5,6.2,54.7%,13.8,12.6,,738.8,1,3,1,6,8,111,9,45,19,21,17,12,22,16,24,13,,0,0,0,1,1,20,2,2,2,1,0,0,0,0,0,0
NYI,22-23p,New York Islanders,3,117,624,0.5,18.9,100.9,,-0.0,0.7,0.0,,53,7,28,78,1.1,4.5,12.6,2.0%,7.9%,22.0%,,37.7%,17.9%,44.4%,45.9%,53.8%,57.5%,,112,132,17,21,,6.9,6.9,49.8%,12.1,14.9,,371.1,0,0,1,3,1,58,8,10,15,11,12,9,12,4,17,4,,0,0,0,0,0,9,1,2,0,1,0,0,0,0,1,0
NYR,22-23p,New York Rangers,5,147,660,0.7,20.4,91.8,,0.1,0.0,0.1,,62,6,33,92,0.8,4.6,12.8,1.5%,8.5%,23.7%,,38.9%,19.2%,42.0%,48.1%,61.4%,54.8%,,132,143,27,20,,5.8,7.5,43.7%,12.6,12.3,,431.6,1,0,1,4,2,44,4,22,16,21,11,16,15,17,13,4,,0,0,0,0,0,12,0,1,2,0,1,0,0,0,0,1
SEA,22-23p,Seattle Kraken,10,288,1289,0.7,20.2,90.4,,0.1,0.1,-0.5,,45,21,104,195,1.5,7.3,13.7,2.6%,12.9%,24.2%,,41.2%,18.2%,40.6%,50.4%,53.9%,64.8%,,294,289,31,38,,5.7,7.0,44.8%,9.9,14.3,,855.3,3,1,1,7,4,84,21,41,24,37,42,34,36,21,29,11,,1,0,0,0,0,21,2,8,3,5,2,1,1,0,0,0
T.B,22-23p,Tampa Bay Lightning,10,113,504,1.5,17.5,77.9,,-0.2,-0.6,-0.4,,55,22,56,101,3.4,8.7,15.6,5.1%,13.1%,23.6%,,44.3%,17.3%,38.4%,53.6%,57.3%,55.9%,,142,123,18,18,,5.7,6.2,47.6%,17.9,17.0,,388.1,1,0,1,1,4,51,7,21,26,19,14,10,13,9,10,2,,0,0,0,0,0,15,1,2,1,0,0,0,0,1,1,0
TOR,22-23p,Toronto Maple Leafs,13,242,983,1.1,20.5,83.5,,-0.0,-0.3,-0.1,,42,9,58,146,0.8,4.9,12.4,1.3%,8.5%,21.4%,,38.9%,18.1%,43.0%,47.5%,59.8%,58.3%,,232,257,29,28,,6.9,5.9,54.0%,16.6,21.1,,706.7,3,4,0,8,14,103,12,39,34,20,20,25,21,12,23,14,,0,0,0,0,3,14,1,4,4,1,2,2,2,0,0,0
VGK,22-23p,Vegas Golden Knights,28,421,1819,1.2,18.7,80.6,,-0.1,0.2,-0.2,,52,37,151,308,1.6,6.7,13.6,3.0%,12.2%,24.9%,,40.4%,19.0%,40.5%,49.9%,56.6%,63.0%,,449,450,68,60,,7.1,6.1,53.6%,14.0,18.3,,1354.2,1,7,1,25,19,184,15,57,66,51,40,46,42,38,29,19,,0,1,0,0,6,47,0,7,12,5,2,2,0,2,1,1
WPG,22-23p,Winnipeg Jets,6,128,499,1.1,23.7,92.5,,-0.1,-0.4,0.1,,51,3,47,71,0.6,8.7,13.2,0.9%,14.3%,21.6%,,40.9%,18.9%,40.2%,50.4%,65.9%,57.8%,,110,109,11,15,,5.3,6.8,43.6%,15.5,14.7,,323.7,0,5,1,4,2,33,0,13,14,14,9,6,12,17,17,3,,0,0,0,0,1,7,0,2,2,2,0,0,0,0,0,0